descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Pão, de queijo, cru;295;3,6;14,0;63;38,5;1,0;88;79;0,3;405;58; ;2
Pepino, cru;10;0,9;Tr;NA;2,0;1,1;10;12;0,1;Tr;154;5,0;2
Pimentão, amarelo, cru;28;1,2;0,4;NA;6,0;1,9;10;22;0,4;Tr;221;201,4;2
Pimentão, verde, cru;21;1,1;0,2;NA;4,9;2,6;9;17;0,4;Tr;174;100,2;2
Pimentão, vermelho, cru;23;1,0;0,1;NA;5,5;1,6;6;20;0,3;Tr;211;158,2;2
Polvilho, doce;351;0,4;Tr;NA;86,8;0,2;27;8;0,5;2;38;Tr;2
Quiabo, cru;30;1,9;0,3;NA;6,4;4,6;112;56;0,4;1;249;5,6;2
Rabanete, cru;14;1,4;0,1;NA;2,7;2,2;21;25;0,4;11;328;9,6;2
Repolho, branco, cru;17;0,9;0,1;NA;3,9;1,9;35;14;0,2;4;150;18,7;2
Repolho, roxo, cru;31;1,9;0,1;NA;7,2;2,0;44;58;0,5;2;328;43,2;2
Repolho, roxo, refogado;42;1,8;1,2;NA;7,6;1,8;43;59;0,5;3;321;40,5;2
Rúcula, crua;13;1,8;0,1;NA;2,2;1,7;117;25;0,9;9;233;46,3;2
Salsa, crua;33;3,3;0,6;NA;5,7;1,9;179;49;3,2;2;711;51,7;2
Seleta de legumes, enlatada;57;3,4;0,4;NA;12,7;3,1;16;49;1,1;398;122;Tr;2
Serralha, crua;30;2,7;0,7;NA;4,9;3,5;126;48;1,3;19;265;1,5;2
Taioba, crua;34;2,9;0,9;NA;5,4;4,5;141;53;1,9;1;290;17,9;2
Tomate, com semente, cru;15;1,1;0,2;NA;3,1;1,2;7;20;0,2;1;222;21,2;2
Tomate, extrato;61;2,4;0,2;NA;15,0;2,8;29;47;2,1;498;680;18,0;2
Tomate, molho industrializado;38;1,4;0,9;NA;7,7;3,1;12;27;1,6;418;388;2,7;2
Tomate, purê;28;1,4;Tr;NA;6,9;1,0;13;30;1,3;104;308;5,4;2
Tomate, salada;21;0,8;Tr;NA;5,1;2,3;7;23;0,3;5;161;12,8;2
Vagem, crua;25;1,8;0,2;NA;5,3;2,4;41;28;0,4;Tr;208;1,2;2
Abacate, cru;96;1,2;8,4;NA;6,0;6,3;8;22;0,2;Tr;206;8,7;3
Abacaxi, cru;48;0,9;0,1;NA;12,3;1,0;22;13;0,3;Tr;131;34,6;3
Abacaxi, polpa, congelada;31;0,5;0,1;NA;7,8;0,3;14;8;0,4;1;107;1,2;3
Abiu, cru;62;0,8;0,7;NA;14,9;1,7;6;20;0,2;Tr;128;10,3;3
Açaí, polpa, com xarope de guaraná e glucose;110;0,7;3,7;NA;21,5;1,7;22;11;0,3;15;75;10,3;3
Açaí, polpa, congelada;58;0,8;3,9;NA;6,2;2,6;35;16;0,4;5;124;Tr;3
Acerola, crua;33;0,9;0,2;NA;8,0;1,5;13;9;0,2;Tr;165;941,4;3
Acerola, polpa, congelada;22;0,6;Tr;NA;5,5;0,7;8;13;0,2;1;112;623,2;3
Ameixa, calda, enlatada ;183;0,4;Tr;NA;46,9;0,5;13;21;2,2;3;221;4,3;3
Ameixa, crua;53;0,8;Tr;NA;13,9;2,4;6;14;0,1;Tr;134;7,6;3
Ameixa, em calda, enlatada, drenada ;177;1,0;0,3;NA;47,7;4,5;39;26;2,7;3;263;5,2;3
